title;sector;priority;code;description
Bau von Windenergieanlagen ermöglichen und unterstützen;Strom;3;TOP001;Meistens sind die überkommunalen Regionalverbände für die Ausweisung der Windkraftstandortenzuständig. Jedes Bundesland hat aus dem 2%-Bundesziel eigene Ausbauziele. [NEWLINE]• Kommunen können Windenergieflächen in den Flächennutzungsplänen ausweisen, wenn derRaumordnungsplan das nicht verbietet. Sie können Positivflächen für die Windenergienutzung durch dieBauleitplanung ausweisen und so den Ausbau beschleunigen. [NEWLINE]• Der Gemeinderat kann auf den jeweiligen Regionalverband einwirken, um den Regionalplan für dieWindenergie neu aufzustellen, um regionaler Potenziale (über regionale FNP) auszuweisen.
Bau von PV-Flächenanlagen ermöglichen und unterstützen;Strom;3;TOP002;Die Verwaltung und Kommunalpolitik kann den Ausbau von Freiflächen-PV ermöglichen und beschleunigen: [NEWLINE]• Durchführung einer Solarpotenzialanalyse für Freiflächen-Solaranlagen und Ausweisung vonVorzugsflächen. Durch die Solarpotenzialanalyse wird der Bau beschleunigt, wenn die Bauleitplanungender jeweiligen Anlagen planungsrechtlich Vorrang gegenüber anderen Vorhaben bekommen. Somitentsteht eine Planungssicherheit z.B. ggü. Investoren. [NEWLINE]• Unterschiedliche Finanzierungsmöglichkeiten aufzeigen: Durch die Gründung / Unterstützung vonBürgerEnergiegenossenschaften Gewinn-Beteiligung der Bürger:innen vor Ort ermöglichen [NEWLINE]• Naturverträgliche Gestaltung der Solarparks [NEWLINE]• Kontaktierung und Aktivierung der Eigentümer:innen der Flächen / als Eigentümerin der Freiflächen denAusbau von Freiflächen-PV selbst voran bringen.
Belegung aller Kommunen-eigenen Dachflächen mit PV-Anlagen;Strom;3;TOP003;Die Verwaltung prüft, welche kommunalen Dächer mit PV-Anlagen belegt werden können und verbaut aufallen Potenzialflächen PV-Anlagen. Dazu gehört [NEWLINE]• Prüfpflicht bei Neubau und Sanierung zur Nutzung von PV oder Solarthermie (Gebäude-Energie-Gesetz)und generelle Eignungsprüfung der kommunalen Dachflächen (teils in Bundesländern bereitsverpflichtend) [NEWLINE]• Investitionen in PV-Anlagen, z.B. durch aktive Vermarktung der kommunalen Flächen (Aufbau und Pflegeeines Katasters) bzw. eigene Investitionen, Initiierung von Energiegenossenschaften oder Contracting
Kommune bezieht für alle eigenen Liegenschaften nur noch qualifizierten Ökostrom;Strom;3;TOP004;Die Verwaltung stellt ihren Strombezug zum nächstmöglichen Zeitpunkt auf die Nutzung von qualifiziertemÖkostrom um. [NEWLINE]• Die Kommune schreibt die Strommenge ca. alle 2 – 4 Jahre aus. Mit der nächsten Ausschreibung wirdein Anbieter für (qualifizierten) Ökostrom gesucht. [NEWLINE]• Die ausgewählten Anbieter müssen mindestens folgende Kriterien erfüllen: Neuanlagenquote oderReinvest eines Gewinnanteils in Neuanlagen (beides dient dem Ausbau von EE-Anlagen), kein Einkauf vonfossil erzeugtem Strom.
Förderprogramme für PV-Ausbau;Strom;3;TOP005;Die Kommune legt Förderprogramme für PV-Anlagen auf, die mind. folgende Punkte umfassen: [NEWLINE]• Vorbereitung: Die Einrichtung eines PV-Katasters, um Solarpotenziale im Vorfeld abzuschätzen (oftmalsauf Bundeslandebene schon vorhanden, siehe Quellen) [NEWLINE]• Förderung von PV-Dach-Anlagen für private Haushalte und Unternehmen. Besonders wichtig: Förderungnichtwirtschaftlicher Anlagen(-teile), damit größtmögliche PV-Potenziale genutzt werden [NEWLINE]• Förderung von Mini-PV-Anlagen („Balkonkraftwerken“) [NEWLINE]• Förderung von Mieter:innen-Strom-Projekten [NEWLINE]
Beratungs- und Unterstützungsangebote für Private und Unternehmen;Strom;3;TOP006;Nicht nur die finanzielle Förderung für den Ausbau von Solaranlagen ist wichtig. Private und KMU (kleine undmittlere Unternehmen) brauchen Beratung und Unterstützung bei dem PV-Ausbau: [NEWLINE]• PV-Ausbau-Beratung durch Energiemanagement/ Stadtwerke/ Wirtschaftsförderung, besonders zuFördermitteln [NEWLINE]• Paket-Angebote: PV-Leasing, Heizungsleasing/ Energiecontracting/ Förderabwicklung für Unternehmenetc. [NEWLINE]• Beratung zu Mieter:innen-Strom-Projekten [NEWLINE]• Energieberatung für Unternehmen
100 Prozent qualifizierter Ökostrom als Angebot der Stadtwerke;Strom;2;TOP007;Die Kommune erwirkt als Eigentümerin oder Anteilseignerin die Umstellung des Stromangebots derStadtwerke auf 100 % qualifizierten Ökostrom.
Einrichtung eines kommunalen Energiemanagements;Strom;2;TOP008;Das kommunale Energiemanagement ermöglicht es, den Energieverbrauch in kommunalen Liegenschaftenzu überwachen und strategische Energiesparpläne für den Gebäudebestand zu entwickeln. Diese Maßnahmewird durch die Nationale Klimaschutzinitiative (NKI) gefördert. [NEWLINE]• Die Kommune bestimmt (oder stellt ein) eine:n Energiebeautragte:n [NEWLINE]• Vor Ort muss in den Liegenschaften Einfluss auf den optimierten technischen Anlagenbetrieb genommenwerden (in Schulen, Verwaltungsgebäuden etc.)
Start von wirksamen Kampagnen;Strom;2;TOP009;Die Kommune kann durch verschieden Kampagnen den Ausbau der erneuerbaren Energien und die Rate derenergetischen Sanierung beschleunigen. Dazu zählen z.B. [NEWLINE]• kommunale Teilnahme am „Wattbewerb“ [NEWLINE]• Unterstützung bei Solarparties und Solarselbstbauworkshops (z.B. durch Bereitstellung vonRäumlichkeiten) [NEWLINE]• Fachkräftekampagne zusammen mit IHK/HWK für Beschleunigung Ausbau EE
Unterstützung/ Aufbau von oder Zusammenarbeit mit Energiegenossenschaften;Strom;2;TOP010;Energiegenossenschaften können wichtige Akteure für den Bau und Betrieb von erneuerbaren Strom- undWärmeanlagen sein. Außerdem fördert die (finanzielle) Beteiligung der Bevölkerung die Akzeptanz fürEnergiewendeprojekte. [NEWLINE]• Die Kommune (z.B. in Form der Stadtwerke) kann den Aufbau einer Energiegenossenschaft mit initiieren,begleiten oder bestehende Genossenschaften unterstützen, z.B. bei der Flächensuche und -entwicklung
Bau von Agri-PV ermöglichen und unterstützen;Strom;2;TOP011;• Potenzielle Ausbauflächen identifizieren (kommunale oder private landwirtschaftliche Flächen)• Flächenausweisung ermöglichen bzw. direkt ausweisen (Flächennutzungsplan, Bebauungsplan) zurPrivilegierung des Ausbaus [NEWLINE]• Ausbau unterstützen [NEWLINE]• Informieren [NEWLINE]• Unterstützung bei Bundesförderung [NEWLINE]• Begleitung eines Pilot- oder Forschungsprojekts
Solarpflicht bei Neubau;Strom;2;TOP012;Die Kommune kann über städtebauliche Verträge und im Bebauungsplan für alle Neubauten (Wohn- undNichtwohngebäude) ein Solar-Nutzungsgebot festlegen.Dies kann PV-Module und die Nutzung von Solarthermie umfassen
Wärmeplanung beauftragen bzw. erstellen;Wärme;3;TOP001;Bis Mitte 2026 (>100.000) bzw. 2028 (<100.000) müssen Kommunen eine Wärmeplanung vorlegen. KleinereKommunen wird ein vereinfachtes Verfahren ermöglicht. GEG greift dann, wenn konkrete, gesonderteAusführungsgenehmigung kommt. Oder ab spätestens 2026/28 [NEWLINE]• ab 2035 dürfen keine Emissionen mehr durch die Wärmeerzeugung entstehen [NEWLINE]• betroffene Sektoren mitdenken: [NEWLINE]• gesteigerter Strombedarf (durch große und kleinere Wärmepumpen) muss mitberücksichtigt werdenund erneuerbar sowie lokal/regional erzeugt werden [NEWLINE]• Flankierung mit Maßnahmen im Gebäudebereich nötig: Annahmen über Sanierungsraten müssen inkommunalen Konzepten hinterlegt werden: Wird eine gesteigerte Sanierungsquote durch kommunaleAktivitäten plausibilisiert? [NEWLINE]• nach der Wärmeplanung: Aufteilung und Ausweisung von Wärmeversorgungsgebieten
Dekarbonisierung bestehender Fernwärmenetze und Ausbau grüner Wärmenetze durch Erschließung erneuerbarer Wärmequellen;Wärme;3;TOP002;Umsetzung des kommunalen Wärmeplans durch Umbau bestehender Wärmeproduktion hin zu grüner Wärmeund Erschließung neuer grüner Wärmequellen. [NEWLINE]• Vollständiger Umbau und Ausbau grüner Wärme [NEWLINE]• Harmonisierung von Wärmebedarfen und der Produktion erneuerbarer Wärme (Sanierung mit Wärme Ausund Umbau harmonisieren) [NEWLINE]• in Fernwärmenetzen, v.a. Temperaturreduzierung, hydraulische Optimierung (Schaffung technisUmsetzungvon Effizienzmaßnahmen cher Voraussetzungen für die Nutzung erneuerbarer Energien in den Wärmenetzen)
Umsetzung von Effizienzmaßnahmen in Wärmenetzen (u.a. Temperaturreduzierung, hydraulische Optimierung);Wärme;2;TOP003;Erneuerbar betriebene Wärmenetze haben in der Regel ein niedrigeres Temperaturniveau, weil dieUmweltwärme nicht ähnlich leicht wie fossil erzeugte Wärme genutzt werden kann. Daher müssen dieWärmesysteme so umgebaut werden, dass sie mit niedrigeren Temperauren (< 70 Grad) betrieben werdenkönnen.
Beratung und Motivation zur Verdichtung und Erweiterung von Wärmenetzen in bestehenden Wohngebieten bzw. Anschluss- und Benutzungszwang;Wärme;3;TOP004;"Wärmenetze können effizienter sein als die Umstellung der individuellen Heizung. Daher kann es sinnvoll sein,die Abnahmebasis der Fernwärme zu erhöhen. [NEWLINE]• klare Ziele über Erhöhung der Anschlussquote und Wärmeabnahme [NEWLINE]• Informationsangebot über Stadtwerke bzw. kommunale Kanäle streuen; [NEWLINE]• mit bestehenden kommunalen Beratungsangeboten (Energieberatung, Sanierungskonzepten etc.) verzahnen; [NEWLINE]• Nach §13 Kommunalverfassungsgesetz ist die Festsetzung eines Anschlusszwanges an ein neu zuerrichtendes Nahwärmenetz grundsätzlich auf Basis der Ergebnisse der Quartierskonzepte möglich(Achtung potenziell konfliktive Maßnahme! Achtung vor hohen Wärmekosten für Verbraucher:innen!)"
Energetische Sanierung der kommunalen Liegenschaften und der kommunalen Wohnungsbaugesellschaften;Gebäude;3;TOP001;• Sanierungsfahrplan erstellen und durchführen: [NEWLINE]• Hüllflächen (Außenhaut eines Gebäudes): Zielniveau für Hüllflächensanierung definieren, nachhaltigeBaumaterialien verpflichtend einführen [NEWLINE]• Energie: Wärmeplanung, Heizungssanierung, Nahwärmenetze, PV-Strategie und Heizungstypen abstimmen [NEWLINE]• Priorisierung der Gebäude nach Einsparungspotenzial und Zeitplan festlegen [NEWLINE]• Fördermaßnahmen beantragen: Bundesförderung (Nationale Klimaschutzinitiative), KfW und weitere [NEWLINE]• Allgemeine Planung: Optionen für serielles Sanieren prüfen, Planungspersonal und Budget bereitstellen [NEWLINE]→ Energiemanagement, siehe Informationen zur Maßnahme unter dem Sektor Strom
Beratung von Eigentümer:innen zu Gebäude- und Heizungssanierung;Gebäude;3;TOP002;• Beratung zu energetischer Gebäudesanierung und Heizungstausch von Ein-/ Zwei- oder Mehrfamilienhäusern(Eigentümergemeinschaften) [NEWLINE]• Kostenneutrale Beratung z.B. über Verbraucherzentralen [NEWLINE]• Privatwirtschaftliche Energieberatung fördern [NEWLINE]• Ziele der Beratung: [NEWLINE]• Wärmeleitplanung und PV-Strategie veröffentlichen [NEWLINE]• Quartiersziele und Konzepte kommunizieren [NEWLINE]• Serielles sanieren bewerben und ggf. organisieren [NEWLINE]• Fördermittelberatung (Auswahl): [NEWLINE]• Bundesförderung für effiziente Gebäude bewerben [NEWLINE]• Mittel aus Städtebauförderung z.B. über Ausweisung von Sanierungsgebieten nutzen [NEWLINE]• Städtische Fördermittel, die additiv z.B. zu einer KfW Förderung vergeben werden
Energetische Quartierssanierung;Gebäude;3;TOP003;• Quartierssanierung lenkt den Blick vom Einzelgebäude auf ein Quartier [NEWLINE]• Kommunale und private Gebäude zusammen betrachten [NEWLINE]• Verschiedene Akteure an einen Tisch holen [NEWLINE]• Nutzung von Synergien: [NEWLINE]• Nahwärmenetz planen [NEWLINE]• Abwärme eines Gebäudes (Industrie) zur Heizung eines anderen Gebäudes nutzen [NEWLINE]• Serielles / gebündeltes Sanieren, z.B. viele ähnliche Gebäude auf einmal sanieren und gleichzeitig mit PVModulen ausstatten [NEWLINE]• Umsetzungsschritte / Konzept erarbeiten: [NEWLINE]• Ausgangssituation definieren , Potenziale ableiten [NEWLINE]• Fördermittel beantragen [NEWLINE]• Die ehemalige KfW Förderung für energetische Quartierskonzepte wird derzeit nicht fortgeführt
Kommunales Förderprogramm für energetische Sanierung und erneuerbare Heizungen;Gebäude;3;TOP004;"Förderung: [NEWLINE]• Aufstockende Förderung zur Bundesförderung im BEG (Bundesförderung für effiziente Gebäude); mittels einerRichtlinie wird zusätzliche Förderung nach Vorlage eines staatlichen Förderbescheides ermöglicht (geringerPrüfaufwand): [NEWLINE]• Dämmung der Gebäudehülle / Heizungsoptimierung [NEWLINE]• Heizungstausch mit Fokus auf Wärmepumpe [NEWLINE]• Nutzung nachwachsender Rohstoffe [NEWLINE]• Beispiele für Richtlinien: [NEWLINE]• https://www.neuburg-donau.de/rathaus/aufgaben-und-dienstleistungen/foerderungwaermepumpe_id3302 [NEWLINE]• https://stadt.muenchen.de/infos/foerderprogramm-klimaneutrale-gebaeude.html"
Klimaneutrale Energieversorgung durch Bauleitplanung und städtebauliche Verträge;Gebäude;3;TOP005;Kommunen können die Bauleitplanung und bei der Verabschiedung von städtebaulichen Verträgen mit Investor:innenden Ausbau mit erneuerbaren Energien voran bringen. Dazu gehören z.B. [NEWLINE]• Installationspflicht von PV auf/an Gebäuden, Entwicklung von Solarparks [NEWLINE]• Vorgaben zur Nutzung geeigneter Flächen für Windenergieanlagen innerhalb des Entwicklungsgebiets [NEWLINE]• Festlegung hohe Energieeffizienzstandards im Gebäudebereich [NEWLINE]• Planung und Ausbau von Stromnetzen, Ermöglichung von Speichersystemen und dezentralen [NEWLINE]Energieerzeugungsanlagen inkl. Ausweisung der Flächen dafür [NEWLINE]• Verpflichtung zur Verwendung von Nachhaltigen Baustoffen [NEWLINE]→ Neue Baugebiete müssen im Allgemeinen ihren Energiebedarf aus erneuerbaren Energien decken (Nutzungsrechte)
Ambitionierte Leitlinien für kommunale Neubauten und Sanierung;Gebäude;2;TOP006;• Ambitionierte Leitlinien für Neubauten und Sanierung von kommunalen Gebäuden als verbindlichen Standardfestlegen [NEWLINE]• z.B.: Nullenergiehäuser im Neubau und erhöhter Effizienzhaus-Standard bei Sanierung [NEWLINE]• Baumaterialien nachhaltig und recyclebar [NEWLINE]• Lebenszyklus in der Wirtschaftlichkeitsberechnung einbeziehen (also die Abbruch- und Recyclingkostenmitbetrachten)
Mobilitätsplanung mit Fokus auf Ausbau Rad- und Fußinfrastruktur und ÖPNV-Entwicklung;Verkehr;3;TOP001;Grundlage für eine koordinierte Verkehrswende ist eine gesamtheitliche Mobilitätsplanung, in der der Ausbauvon Fuß- und Radverkehr sowie der Ausbau des ÖPNV inkl. der überregionalen Verkehrsplanung koordiniertwird. Die Planung kümmert sich um die Ermöglichung und Verbesserung der Mobilität bei gleichzeitigerReduktion der Emissionen. Zur Planung gehören auch [NEWLINE]• die Anbindung an und Verzahnung mit Nachbargemeinden und Städten (überregionaler (Pendel-)Verkehr) [NEWLINE]• die Finanzierung der investiven Maßnahmen über den Haushalt (inkl. Maßnahmen zur Erhöhung der Mittel, z.B.über Parkraumbewirtschaftung s.u.)
Einführung von Geschwindigkeitsbegrenzungen;Verkehr;3;TOP002;Die Reduktion der innerstädtischen Höchstgeschwindigkeit kann teilweise von der Kommune auf Tempo 20bzw. 30 reduziert werden. Bei reduziertem Tempo entstehen deutlich weniger Emissionen. [NEWLINE]• Wo möglich: Tempo 20 bzw. 30 Zonen weiträumig ausweisen [NEWLINE]• Beitritt zur bundesweiten Initiative „Lebenswerte Städte durch angemessene Geschwindigkeiten“ für eineflächendeckende Ermöglichung der Tempo-Zonen
