code,title,priority,cities,sector,focuses,description
1,Bau von Windenergieanlagen ermöglichen und unterstützen,3,"Kaiserslautern, Bremen, Bad Hersfeld, Kernen im Remstal, Öhringen, Freiburg, Mainz, Markdorf, Aachen",Strom,"THG-Einsparpotenzial, Wirtschaftlichkeit, Einfache Umsetzung, Kommune als Vorbild, Akzeptanzförderung, Multiplikatoreffekt, Benefits für die Allgemeinheit",placeholder
2,PV-Belegung aller kommuneneigenen Dachflächen,3,"Kaiserslautern, Bremen, Kernen im Remstal, Öhringen, Freiburg, Lübeck, Mainz, Aachen, Dresden, München",Strom,THG-Einsparpotenzial,placeholder
3,Bau von PV-Flächenanlagen ermöglichen und unterstützen,3,"Kaiserslautern, Bad Hersfeld, Würzburg, Rüsselsheim, Öhringen, Lübeck, Markdorf, Aachen, Dresden",Strom,THG-Einsparpotenzial,placeholder
4,Förderprogramme für PV-Anlagen,2,"Bad Hersfeld, Rüsselsheim, Kernen im Remstal, Lübeck, Mainz, Bargteheide",Strom,THG-Einsparpotenzial,placeholder
5,Kommune bezieht für alle eigenen Liegenschaften nur noch qualifizierten Ökostrom,2,"Kernen im Remstal, Bargteheide, Dresden",Strom,THG-Einsparpotenzial,placeholder
6,Beratungsangebote für Private und Unternehmen,2,"Kaiserslautern, Bremen, Bad Hersfeld",Strom,THG-Einsparpotenzial,placeholder
48,PV-Pflicht bei Neubauten,1,"Bad Hersfeld, Lübeck",Strom,Multiplikatoreffekt,placeholder
49,100 Prozent Ökostrom als Angebot der Stadtwerke,1,Mainz,Strom,THG-Einsparpotenzial,placeholder
50,Start wirksamer Kampagnen,1,"Bad Hersfeld, Kernen im Remstal, Lübeck, Mainz, Aachen",Strom,"THG-Einsparpotenzial, Multiplikatoreffekt",placeholder
51,Unterstützung/Aufbau von oder Zusammenarbeit mit Energiegenossenschaften,1,"Würzburg, Freiburg, Mainz, Aachen",Strom,THG-Einsparpotenzial,placeholder
